# t (datenum)	phase (rad)	stress_at_t	stress_rate_at_t	year	month	day	hour	min	sec	lat	lon	dep	mag
13360.42208333	-0.69813170	391.56140300	3194.57616074	2006.00000000	7.00000000	31.00000000	10.00000000	7.00000000	48.00000000	37.50883300	137.38200000	12.91000000	1.60000000
13361.68159722	1.71914931	-7.35488464	-4471.72539944	2006.00000000	8.00000000	1.00000000	16.00000000	21.00000000	30.00000000	37.22450000	137.06783300	16.94000000	0.90000000
13362.72995370	1.70169602	-67.05889330	-4937.80881499	2006.00000000	8.00000000	2.00000000	17.00000000	31.00000000	8.00000000	37.70433300	137.39266700	14.23000000	2.90000000
13362.99093750	-2.70526034	-420.97764300	2368.13087952	2006.00000000	8.00000000	2.00000000	23.00000000	46.00000000	57.00000000	37.66916700	136.75483300	15.03000000	1.90000000
13364.71354167	0.84648469	473.08584100	-4701.42455904	2006.00000000	8.00000000	4.00000000	17.00000000	7.00000000	30.00000000	37.31916700	137.23966700	6.83000000	3.70000000
13365.38100694	-3.08923278	300.58356100	23.32992000	2006.00000000	8.00000000	5.00000000	9.00000000	8.00000000	39.00000000	37.88900000	137.67433300	17.88000000	1.40000000
13365.61561343	-0.45378561	729.43519500	1993.04615959	2006.00000000	8.00000000	5.00000000	14.00000000	46.00000000	29.00000000	37.08683300	136.77366700	10.01000000	0.60000000
13367.50403935	-3.08050613	212.25136200	248.04479995	2006.00000000	8.00000000	7.00000000	12.00000000	5.00000000	49.00000000	37.62766700	137.31333300	6.07000000	0.00000000
13367.61491898	-1.62315620	524.68548200	4933.16999899	2006.00000000	8.00000000	7.00000000	14.00000000	45.00000000	29.00000000	37.65233300	137.36133300	8.24000000	0.60000000
13367.89611111	1.47480322	30.48635110	-11409.73445066	2006.00000000	8.00000000	7.00000000	21.00000000	30.00000000	24.00000000	37.23200000	137.10416700	16.55000000	0.70000000
13367.92031250	1.71914931	-257.88948300	-11570.56896269	2006.00000000	8.00000000	7.00000000	22.00000000	5.00000000	15.00000000	37.15133300	137.39083300	12.28000000	0.40000000
13369.41085648	0.43633231	444.43205300	-2012.29800047	2006.00000000	8.00000000	9.00000000	9.00000000	51.00000000	38.00000000	36.90433300	137.62366700	9.43000000	0.90000000
