# t (datenum)	phase (rad)	stress_at_t	stress_rate_at_t	year	month	day	hour	min	sec	lat	lon	dep	mag
13188.75723380	1.37008346	292.25577600	-572.14943988	2006.00000000	2.00000000	9.00000000	18.00000000	10.00000000	25.00000000	36.97116700	137.01266700	10.90000000	1.10000000
13190.12151620	2.93215314	-1044.16539240	-3591.33648084	2006.00000000	2.00000000	11.00000000	2.00000000	54.00000000	59.00000000	37.64383300	137.36833300	11.53000000	1.60000000
13195.54306713	-0.88139127	272.48126820	2271.83006354	2006.00000000	2.00000000	16.00000000	13.00000000	2.00000000	1.00000000	37.68300000	137.40916700	11.83000000	1.10000000
13199.33178241	-0.49741884	562.15918600	2629.78488061	2006.00000000	2.00000000	20.00000000	7.00000000	57.00000000	46.00000000	37.40116700	137.04633300	11.55000000	0.30000000
13200.63369213	1.00356432	302.39983140	-1564.10539168	2006.00000000	2.00000000	21.00000000	15.00000000	12.00000000	31.00000000	37.23083300	137.05500000	16.75000000	0.70000000
13203.60922454	0.54977871	458.55237080	-2530.20480059	2006.00000000	2.00000000	24.00000000	14.00000000	37.00000000	17.00000000	37.41766700	136.47033300	0.00000000	1.60000000
13204.21724537	-2.67035376	-773.27655224	3243.24485836	2006.00000000	2.00000000	25.00000000	5.00000000	12.00000000	50.00000000	37.37283300	137.51250000	0.00000000	1.00000000
13206.75587963	2.60054059	115.61240774	-1019.22902379	2006.00000000	2.00000000	27.00000000	18.00000000	8.00000000	28.00000000	37.28716700	137.22066700	15.22000000	0.90000000
13211.40230324	-0.65449847	176.90601600	714.26716817	2006.00000000	3.00000000	4.00000000	9.00000000	39.00000000	19.00000000	37.56016700	136.78666700	1.25000000	1.20000000
13215.42478009	0.13962634	674.56982900	-995.53660780	2006.00000000	3.00000000	8.00000000	10.00000000	11.00000000	41.00000000	37.38933300	136.32766700	3.49000000	1.70000000
13217.21758102	-2.06821516	-577.56843160	8100.89299389	2006.00000000	3.00000000	10.00000000	5.00000000	13.00000000	19.00000000	37.20983300	137.07316700	12.80000000	0.60000000
13217.66457176	2.72271363	296.06104960	-911.58936021	2006.00000000	3.00000000	10.00000000	15.00000000	56.00000000	59.00000000	37.51733300	137.29350000	8.23000000	0.20000000
13220.54432870	0.48869219	634.32524920	-2203.63159491	2006.00000000	3.00000000	13.00000000	13.00000000	3.00000000	50.00000000	37.43783300	137.47616700	8.61000000	1.70000000
13223.67741898	1.42244334	23.78373580	-3829.61212722	2006.00000000	3.00000000	16.00000000	16.00000000	15.00000000	29.00000000	37.67150000	137.42450000	12.00000000	1.30000000
13225.12575231	-1.15191731	181.23887560	3273.36669676	2006.00000000	3.00000000	18.00000000	3.00000000	1.00000000	5.00000000	37.70150000	137.38383300	7.42000000	1.50000000
13225.70685185	2.12930169	-87.56476070	-3042.93703271	2006.00000000	3.00000000	18.00000000	16.00000000	57.00000000	52.00000000	37.28500000	137.18400000	14.55000000	1.00000000
13229.00827546	2.98451302	-778.07307440	-1789.05191964	2006.00000000	3.00000000	22.00000000	0.00000000	11.00000000	55.00000000	37.17850000	137.76083300	16.91000000	1.40000000
13230.15288194	-2.45218760	-648.23936204	4507.54808265	2006.00000000	3.00000000	23.00000000	3.00000000	40.00000000	9.00000000	37.30200000	137.22666700	5.06000000	0.50000000
13233.03078704	1.87622895	-303.63919980	-4780.59470511	2006.00000000	3.00000000	26.00000000	0.00000000	44.00000000	20.00000000	37.01800000	136.89083300	12.85000000	3.90000000
13234.80372685	-1.79768913	67.07048640	2003.68108759	2006.00000000	3.00000000	27.00000000	19.00000000	17.00000000	22.00000000	37.40050000	137.34033300	4.06000000	1.30000000
13245.76233796	-0.10471976	283.13810300	240.95088006	2006.00000000	4.00000000	7.00000000	18.00000000	17.00000000	46.00000000	37.69550000	137.36466700	8.52000000	1.30000000
13248.07070602	2.25147474	-443.52115140	-5538.81239887	2006.00000000	4.00000000	10.00000000	1.00000000	41.00000000	49.00000000	37.68050000	137.38766700	12.35000000	1.50000000
13248.45771991	0.21816616	598.60343160	-1079.07979225	2006.00000000	4.00000000	10.00000000	10.00000000	59.00000000	7.00000000	37.70266700	137.40483300	12.48000000	1.10000000
13258.31859954	-0.49741884	501.79823020	2680.97884745	2006.00000000	4.00000000	20.00000000	7.00000000	38.00000000	47.00000000	37.26050000	137.30900000	5.38000000	1.20000000
13261.49466435	1.17809725	284.40383160	-3492.71395281	2006.00000000	4.00000000	23.00000000	11.00000000	52.00000000	19.00000000	37.59033300	137.15100000	7.06000000	0.70000000
13265.61290509	2.16420827	-293.68102760	-3632.54505526	2006.00000000	4.00000000	27.00000000	14.00000000	42.00000000	35.00000000	37.67516700	137.37050000	14.14000000	1.10000000
13266.90901620	-1.38753676	30.80842720	4327.59340712	2006.00000000	4.00000000	28.00000000	21.00000000	48.00000000	59.00000000	37.61950000	137.12966700	0.00000000	0.80000000
13268.33515046	1.00356432	299.25085500	-376.99800009	2006.00000000	4.00000000	30.00000000	8.00000000	2.00000000	37.00000000	37.50883300	137.83416700	19.51000000	1.60000000
13272.05380787	-2.21656815	-461.32448124	4713.57157344	2006.00000000	5.00000000	4.00000000	1.00000000	17.00000000	29.00000000	37.13250000	137.44116700	16.30000000	3.90000000
13272.31055556	-0.03490659	670.05559100	181.39675204	2006.00000000	5.00000000	4.00000000	7.00000000	27.00000000	12.00000000	37.61183300	137.29633300	11.99000000	1.30000000
13274.39998843	0.62831853	595.08037180	-2575.13863148	2006.00000000	5.00000000	6.00000000	9.00000000	35.00000000	59.00000000	37.60900000	137.28166700	11.76000000	0.80000000
13275.72089120	-1.68424273	93.51584920	4186.13726315	2006.00000000	5.00000000	7.00000000	17.00000000	18.00000000	5.00000000	37.23533300	137.12616700	15.92000000	1.40000000
13276.06398148	2.60054059	-401.31281260	-3292.67961677	2006.00000000	5.00000000	8.00000000	1.00000000	32.00000000	8.00000000	37.70966700	137.38716700	14.94000000	2.00000000
13276.84582176	-0.51487213	482.15103360	2955.42595140	2006.00000000	5.00000000	8.00000000	20.00000000	17.00000000	59.00000000	37.85566700	137.22683300	11.32000000	1.40000000
13277.59899306	2.48709418	-446.57520400	-3702.32875286	2006.00000000	5.00000000	9.00000000	14.00000000	22.00000000	33.00000000	37.52900000	137.19550000	6.79000000	0.60000000
13279.56457176	1.61442956	-255.63154460	-5570.35732930	2006.00000000	5.00000000	11.00000000	13.00000000	32.00000000	59.00000000	37.37800000	136.68650000	11.90000000	0.40000000
13280.38078704	0.00000000	203.77151900	86.97311998	2006.00000000	5.00000000	12.00000000	9.00000000	8.00000000	20.00000000	37.51983300	137.18666700	2.52000000	1.10000000
13280.49997685	0.98611103	43.92725020	-3223.61510475	2006.00000000	5.00000000	12.00000000	11.00000000	59.00000000	58.00000000	37.52333300	137.20600000	10.27000000	1.10000000
