# t (datenum)	phase (rad)	stress_at_t	stress_rate_at_t	year	month	day	hour	min	sec	lat	lon	dep	mag
13184.58167824	2.39110108	-591.35387600	-4604.63448107	2006.00000000	2.00000000	5.00000000	13.00000000	57.00000000	37.00000000	38.05750000	136.40800000	0.00000000	2.00000000
13186.45892361	0.35779250	562.65630700	-2843.02512066	2006.00000000	2.00000000	7.00000000	11.00000000	0.00000000	51.00000000	37.70300000	137.39683300	7.59000000	1.20000000
13188.75723380	2.83616003	-1253.71584000	-3911.00639920	2006.00000000	2.00000000	9.00000000	18.00000000	10.00000000	25.00000000	36.97116700	137.01266700	10.90000000	1.10000000
13190.12151620	0.43633231	482.92574600	-2899.66080068	2006.00000000	2.00000000	11.00000000	2.00000000	54.00000000	59.00000000	37.64383300	137.36833300	11.53000000	1.60000000
13195.54306713	-2.67908040	-612.47775300	3335.68703932	2006.00000000	2.00000000	16.00000000	13.00000000	2.00000000	1.00000000	37.68300000	137.40916700	11.83000000	1.10000000
13199.33178241	-0.90757121	463.19296000	3662.88840085	2006.00000000	2.00000000	20.00000000	7.00000000	57.00000000	46.00000000	37.40116700	137.04633300	11.55000000	0.30000000
13200.63369213	2.02458193	-566.96599100	-9134.06591814	2006.00000000	2.00000000	21.00000000	15.00000000	12.00000000	31.00000000	37.23083300	137.05500000	16.75000000	0.70000000
13203.60922454	0.83775804	570.07443800	-7719.68880180	2006.00000000	2.00000000	24.00000000	14.00000000	37.00000000	17.00000000	37.41766700	136.47033300	0.00000000	1.60000000
13204.21724537	1.87622895	-76.84960540	-6147.58310543	2006.00000000	2.00000000	25.00000000	5.00000000	12.00000000	50.00000000	37.37283300	137.51250000	0.00000000	1.00000000
13206.75587963	1.67551608	-16.14744210	-8612.10143825	2006.00000000	2.00000000	27.00000000	18.00000000	8.00000000	28.00000000	37.28716700	137.22066700	15.22000000	0.90000000
13211.40230324	1.93731547	-231.43500000	-4226.25072098	2006.00000000	3.00000000	4.00000000	9.00000000	39.00000000	19.00000000	37.56016700	136.78666700	1.25000000	1.20000000
13215.42478009	0.08726646	625.36154500	-680.08847986	2006.00000000	3.00000000	8.00000000	10.00000000	11.00000000	41.00000000	37.38933300	136.32766700	3.49000000	1.70000000
13217.21758102	2.77507351	-271.59315600	-2282.27808053	2006.00000000	3.00000000	10.00000000	5.00000000	13.00000000	19.00000000	37.20983300	137.07316700	12.80000000	0.60000000
