# t (datenum)	phase (rad)	stress_at_t	stress_rate_at_t	year	month	day	hour	min	sec	lat	lon	dep	mag
13344.56480324	-1.89368224	-49.78000000	1576.79999968	2006.00000000	7.00000000	15.00000000	13.00000000	33.00000000	19.00000000	37.14533300	137.67966700	13.36000000	1.70000000
13347.05059028	2.62672052	0.06000000	-388.79999992	2006.00000000	7.00000000	18.00000000	1.00000000	12.00000000	51.00000000	37.66050000	137.40000000	11.00000000	1.40000000
13352.38844907	-2.11184839	-48.78000000	811.20000019	2006.00000000	7.00000000	23.00000000	9.00000000	19.00000000	22.00000000	37.60466700	137.29466700	10.72000000	1.30000000
13353.59230324	0.47123890	47.23000000	-715.20000017	2006.00000000	7.00000000	24.00000000	14.00000000	12.00000000	55.00000000	37.19433300	137.71900000	16.44000000	1.00000000
13356.20726852	0.88139127	126.80000000	-1392.00000032	2006.00000000	7.00000000	27.00000000	4.00000000	58.00000000	28.00000000	37.51016700	137.21483300	9.43000000	1.80000000
13356.44952546	-2.39110108	-83.45000000	998.40000023	2006.00000000	7.00000000	27.00000000	10.00000000	47.00000000	19.00000000	37.08833300	136.42433300	0.00000000	0.60000000
13356.59063657	-0.45378561	87.68000000	674.40000016	2006.00000000	7.00000000	27.00000000	14.00000000	10.00000000	31.00000000	37.16416700	136.81933300	9.32000000	0.30000000
13357.67564815	0.26179939	103.98000000	-400.79999992	2006.00000000	7.00000000	28.00000000	16.00000000	12.00000000	56.00000000	37.16333300	136.82050000	10.17000000	1.00000000
13358.80922454	1.57079633	0.81000000	-1348.80000031	2006.00000000	7.00000000	29.00000000	19.00000000	25.00000000	17.00000000	37.19833300	137.11116700	15.78000000	0.40000000
13360.42208333	2.60054059	-109.96000000	-638.40000015	2006.00000000	7.00000000	31.00000000	10.00000000	7.00000000	48.00000000	37.50883300	137.38200000	12.91000000	1.60000000
13361.68159722	-1.23045712	19.96000000	1039.20000024	2006.00000000	8.00000000	1.00000000	16.00000000	21.00000000	30.00000000	37.22450000	137.06783300	16.94000000	0.90000000
13362.72995370	-1.37881011	12.25600000	1023.59999979	2006.00000000	8.00000000	2.00000000	17.00000000	31.00000000	8.00000000	37.70433300	137.39266700	14.23000000	2.90000000
13362.99093750	0.48869219	67.26000000	-496.79999990	2006.00000000	8.00000000	2.00000000	23.00000000	46.00000000	57.00000000	37.66916700	136.75483300	15.03000000	1.90000000
13364.71354167	-2.51327412	-128.01000000	779.99999984	2006.00000000	8.00000000	4.00000000	17.00000000	7.00000000	30.00000000	37.31916700	137.23966700	6.83000000	3.70000000
13365.38100694	-0.95120444	-21.43000000	201.59999996	2006.00000000	8.00000000	5.00000000	9.00000000	8.00000000	39.00000000	37.88900000	137.67433300	17.88000000	1.40000000
13365.61561343	2.26020138	-141.91000000	-866.39999982	2006.00000000	8.00000000	5.00000000	14.00000000	46.00000000	29.00000000	37.08683300	136.77366700	10.01000000	0.60000000
13367.50403935	-0.06108652	38.68000000	55.19999999	2006.00000000	8.00000000	7.00000000	12.00000000	5.00000000	49.00000000	37.62766700	137.31333300	6.07000000	0.00000000
13367.61491898	1.29154365	-52.36000000	-1549.67999968	2006.00000000	8.00000000	7.00000000	14.00000000	45.00000000	29.00000000	37.65233300	137.36133300	8.24000000	0.60000000
13367.89611111	-1.78896248	-60.63000000	2407.20000056	2006.00000000	8.00000000	7.00000000	21.00000000	30.00000000	24.00000000	37.23200000	137.10416700	16.55000000	0.70000000
13367.92031250	-1.51843645	0.62000000	2476.80000058	2006.00000000	8.00000000	7.00000000	22.00000000	5.00000000	15.00000000	37.15133300	137.39083300	12.28000000	0.40000000
13369.41085648	-2.25147474	-76.87000000	1303.20000030	2006.00000000	8.00000000	9.00000000	9.00000000	51.00000000	38.00000000	36.90433300	137.62366700	9.43000000	0.90000000
13370.66730324	0.72431164	111.08000000	-1435.19999971	2006.00000000	8.00000000	10.00000000	16.00000000	0.00000000	55.00000000	37.16466700	137.37833300	14.14000000	2.00000000
13371.05554398	-0.89011792	113.68000000	1898.39999961	2006.00000000	8.00000000	11.00000000	1.00000000	19.00000000	59.00000000	37.07333300	136.48866700	0.00000000	1.10000000
13371.26201389	1.62315620	9.32000000	-2205.60000051	2006.00000000	8.00000000	11.00000000	6.00000000	17.00000000	18.00000000	37.93300000	137.79033300	19.24000000	1.60000000
13373.89097222	2.25147474	-20.18000000	-1135.19999977	2006.00000000	8.00000000	13.00000000	21.00000000	23.00000000	0.00000000	37.91466700	137.78850000	18.69000000	1.00000000
13375.59285880	-2.15548163	-107.42000000	1286.40000030	2006.00000000	8.00000000	15.00000000	14.00000000	13.00000000	43.00000000	37.34233300	136.82483300	9.43000000	0.50000000
13377.69415509	-2.37364778	-117.29000000	866.39999982	2006.00000000	8.00000000	17.00000000	16.00000000	39.00000000	35.00000000	37.23883300	137.09400000	17.42000000	0.40000000
13379.18858796	2.14675498	-4.47000000	-890.40000021	2006.00000000	8.00000000	19.00000000	4.00000000	31.00000000	34.00000000	37.90216700	136.79516700	13.81000000	2.00000000
13383.82059028	3.09795942	-190.76000000	-160.79999997	2006.00000000	8.00000000	23.00000000	19.00000000	41.00000000	39.00000000	37.31916700	136.57133300	6.75000000	0.90000000
13387.59672454	-0.74176493	109.64000000	1223.99999975	2006.00000000	8.00000000	27.00000000	14.00000000	19.00000000	17.00000000	37.16183300	137.38266700	12.06000000	1.50000000
13388.38934028	2.88851991	-156.06000000	-408.00000009	2006.00000000	8.00000000	28.00000000	9.00000000	20.00000000	39.00000000	37.08516700	136.45900000	1.74000000	2.60000000
13388.66103009	-0.23561945	133.89000000	444.00000010	2006.00000000	8.00000000	28.00000000	15.00000000	51.00000000	53.00000000	37.59866700	137.27850000	11.89000000	1.10000000
13390.68350694	-0.87266463	58.31000000	878.40000020	2006.00000000	8.00000000	30.00000000	16.00000000	24.00000000	15.00000000	37.33733300	136.75283300	5.72000000	2.30000000
13390.88538194	1.38753676	58.73000000	-554.39999989	2006.00000000	8.00000000	30.00000000	21.00000000	14.00000000	57.00000000	37.29900000	137.25683300	5.92000000	0.20000000
13392.77422454	-1.29154365	21.53000000	991.19999980	2006.00000000	9.00000000	1.00000000	18.00000000	34.00000000	53.00000000	37.01983300	136.46500000	13.75000000	0.60000000
